symbol,name,Last Price,Market Time,Change,%Change,Volume,Avg Vol(3month),Market Cap
PLUG,Plug Power Inc.,$5.72,4:00PM EST,+0.87,+17.94%,50.245M,12.922M,1.669B
STMP,Stamps.com Inc.,$95.46,4:00PM EST,+3.57,+3.89%,1.263M,"350,032",1.633B
ALLY,Ally Financial Inc.,$28.33,4:01PM EST,-3.70,-11.55%,18.426M,3.577M,10.605B
ENPH,"Enphase Energy, Inc.",$57.22,4:00PM EST,+17.05,+42.44%,35.436M,5.303M,7.003B
Z,"Zillow Group, Inc.",$54.47,4:00PM EST,+2.19,+4.19%,5.662M,2.438M,11.288B
SEDG,"SolarEdge Technologies, Inc.",$127.82,4:00PM EST,+19.44,+17.94%,4.885M,1.117M,6.213B
NVTA,Invitae Corporation,$27.50,4:00PM EST,+0.25,+0.92%,4.35M,2.378M,2.695B
NVDA,NVIDIA Corporation,$314.70,4:00PM EST,+18.13,+6.11%,17.358M,8.276M,202.035B
SNPS,"Synopsys, Inc.",$164.99,4:00PM EST,+2.07,+1.27%,1.761M,1.001M,24.837B
MYO,"Myomo, Inc.",$7.83,4:00PM EST,+2.37,+43.41%,15.381M,"300,596",4.498M
SPCE,"Virgin Galactic Holdings, Inc.",$37.35,4:00PM EST,+7.05,+23.27%,81.147M,9.847M,7.254B
TEVA,Teva Pharmaceutical Industries Limited,$13.45,4:01PM EST,+1.13,+9.17%,29.272M,17.864M,14.426B
CPRT,"Copart, Inc.",$104.50,4:00PM EST,+2.08,+2.03%,1.657M,1.72M,24.291B
EVBG,"Everbridge, Inc.",$104.21,4:00PM EST,+12.37,+13.47%,1.561M,"379,244",3.521B
ET,Energy Transfer LP,$12.68,4:03PM EST,-0.02,-0.16%,14.357M,17.151M,34.041B
FIVN,"Five9, Inc.",$78.75,4:00PM EST,+1.81,+2.35%,1.462M,"558,747",4.81B
KL,Kirkland Lake Gold Ltd.,$37.43,4:02PM EST,-0.67,-1.76%,2.445M,1.75M,7.839B
SQ,"Square, Inc.",$85.24,4:04PM EST,+2.82,+3.42%,8.982M,6.743M,36.626B
OVV,Ovintiv Inc.,$16.22,4:02PM EST,+0.85,+5.53%,3.962M,5.33M,4.218B
BLDP,Ballard Power Systems Inc.,$14.14,4:00PM EST,+1.64,+13.12%,8.123M,2.871M,3.297B
FSLR,"First Solar, Inc.",$57.37,4:00PM EST,+1.72,+3.09%,1.946M,1.259M,6.047B
CYCN,"Cyclerion Therapeutics, Inc.",$5.84,4:00PM EST,+1.80,+44.55%,2.777M,"772,806",160.418M
ZG,"Zillow Group, Inc.",$54.84,4:00PM EST,+2.45,+4.68%,2.507M,"459,486",11.402B
PAAS,Pan American Silver Corp.,$24.63,4:00PM EST,+0.67,+2.80%,5.073M,2.741M,5.153B
SNGX,"Soligenix, Inc.",$3.3000,4:00PM EST,+0.5500,+20.00%,1.171M,"340,132",68.155M
FCEL,"FuelCell Energy, Inc.",$2.7900,4:00PM EST,+0.3300,+13.41%,43.951M,28.379M,696.127M
TLRY,"Tilray, Inc.",$18.51,4:00PM EST,+1.41,+8.25%,3.339M,3.072M,1.845B
CLVS,"Clovis Oncology, Inc.",$10.46,4:00PM EST,+1.20,+12.96%,9.565M,10.482M,759.322M
ALB,Albemarle Corporation,$89.34,4:02PM EST,+0.64,+0.72%,1.934M,1.706M,9.473B
